release_date,title,content,tick,company_id
7/4/2023,est lacinia,montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis,256,5
2/22/2023,ut,suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis,471,5
8/28/2024,enim,sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus,42,5
10/6/2024,rutrum rutrum,maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem,440,5
10/17/2024,nullam,pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus,105,5
12/26/2023,nunc,at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget,677,5
10/28/2024,justo,nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus,206,5
2/15/2023,vitae mattis,placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede,5,5
2/21/2023,aliquet pulvinar,viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus,225,5
9/13/2023,quisque,sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit,750,5
10/20/2023,at,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan,82,5
10/20/2023,elementum nullam,eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula,4,5
5/30/2023,leo,hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum,192,5
9/5/2023,ante,id consequat in consequat ut nulla sed accumsan felis ut,209,5
8/1/2023,ultrices posuere,lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum,631,5
7/14/2024,volutpat,fusce consequat nulla nisl nunc nisl duis bibendum felis sed,50,5
3/4/2023,risus dapibus,nunc viverra dapibus nulla suscipit ligula in lacus curabitur at,437,5
1/10/2025,mus etiam,sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus,736,5
3/20/2023,tellus nulla,tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh,437,5
12/3/2024,suscipit ligula,vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc,508,5
7/30/2024,etiam vel,eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue,14,5
6/9/2024,ut,mauris sit amet eros suspendisse accumsan tortor quis turpis sed,667,5
3/5/2024,justo in,nulla ac enim in tempor turpis nec euismod scelerisque quam,264,5
7/22/2023,libero,enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet,270,5
10/13/2024,morbi,donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue,107,5
4/27/2024,sed,metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et,380,5
9/27/2023,mi,ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy,537,5
1/25/2025,pellentesque ultrices,vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis,235,5
2/26/2024,semper interdum,enim blandit mi in porttitor pede justo eu massa donec,722,5
11/2/2023,sapien placerat,id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede,20,5
11/18/2023,quis,pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non,257,5
8/9/2024,ultrices posuere,eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget,474,5
11/13/2023,orci luctus,sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui,460,5
3/30/2023,condimentum,arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus,577,5
9/17/2024,auctor sed,integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam,506,5
9/8/2023,morbi,aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper,179,5
12/20/2024,mauris morbi,pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh,125,5
4/9/2024,duis faucibus,erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus,280,5
3/3/2024,eget,dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,740,5
8/6/2024,venenatis lacinia,lectus pellentesque eget nunc donec quis orci eget orci vehicula,281,5
10/22/2024,leo maecenas,nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam,550,5
1/2/2023,et,volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla,724,5
10/1/2024,praesent,ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit,231,5
1/13/2025,sit amet,curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu,32,5
8/5/2023,mattis,elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo,211,5
5/8/2023,imperdiet,donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante,26,5
9/3/2024,in,et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti,191,5
3/25/2024,sodales,erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede,17,5
2/2/2024,phasellus in,quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed,639,5
5/20/2024,venenatis non,condimentum neque sapien placerat ante nulla justo aliquam quis turpis,557,5
9/20/2023,risus praesent,a suscipit nulla elit ac nulla sed vel enim sit,149,5
11/19/2023,est congue,et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien,303,5
6/1/2024,sagittis,mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere,743,5
6/19/2023,porttitor lorem,velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id,355,5
5/11/2023,hac habitasse,tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut,673,5
2/9/2025,at,aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac,387,5
12/30/2023,eleifend,maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat,669,5
7/22/2024,interdum eu,libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo,691,5
7/16/2023,augue,ipsum primis in faucibus orci luctus et ultrices posuere cubilia,256,5
1/29/2023,aliquet,nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam,219,5
9/4/2024,gravida nisi,integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi,447,5
4/10/2024,mauris,viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae,186,5
2/9/2023,nulla,eu felis fusce posuere felis sed lacus morbi sem mauris,45,5
8/30/2024,vel enim,ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit,347,5
9/28/2024,lacus curabitur,ante ipsum primis in faucibus orci luctus et ultrices posuere,712,5
7/29/2023,eu,eleifend luctus ultricies eu nibh quisque id justo sit amet,295,5
8/12/2024,orci,odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor,610,5
5/20/2024,placerat,iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut,616,5
2/21/2023,at,ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum,219,5
4/1/2023,mauris morbi,eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim,232,5
10/29/2024,magnis,eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque,322,5
8/14/2023,mauris,nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur,429,5
7/4/2023,at,nulla tellus in sagittis dui vel nisl duis ac nibh fusce,649,5
7/17/2024,eget,blandit lacinia erat vestibulum sed magna at nunc commodo placerat,659,5
12/8/2023,dolor vel,massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris,590,5
